fyear,tic,ACT,AT,C&E,COGS,SHARE,TD,IB,CL,NI,CFO,REVT
2002,MSTR,54.975,79.873,21.253,19.4,13.776,49.739,38.117,61.895,38.117,-2.66,147.827
2003,MSTR,89.317,114.793,52.629,21.185,15.966,0,-4.668,61.709,-3.903,36.643,175.577
2004,MSTR,175.177,336.956,107.34,27.071,16.235,0,168.313,89.634,168.313,85.558,231.208
2005,MSTR,173.387,277.773,101.155,28.026,13.853,0,64.743,92.682,64.743,102.551,268.662
2006,MSTR,175.406,248.816,82.795,36.822,12.693,0,70.876,112.828,70.876,104.419,313.823
2007,MSTR,182.723,241.387,88.176,52.969,11.954,0,58.468,126.985,58.468,97.896,350.674
2008,MSTR,214.429,292.139,123.534,57.007,11.89,0,41.768,143.151,41.833,88.918,360.393
2009,MSTR,305.22,383.33,225.318,55.972,11.949,0,60.507,152.635,74.837,96.443,377.788
2010,MSTR,296.858,381.566,174.381,93.292,10.641,0,43.792,186.57,43.792,75.825,454.577
2011,MSTR,343.205,453.851,199.923,123.494,10.783,0,17.94,218.393,17.94,60.814,562.15
2012,MSTR,358.141,477.938,224.479,128.273,11.284,2.119,20.546,219.056,20.546,49.884,594.606
2013,MSTR,479.948,585.514,357.952,112.17,11.3,1.619,26.55,233.519,83.332,29.934,575.888
2014,MSTR,462.365,558.797,346.127,109.915,11.31,0.157,5.035,197.3,5.035,14.6,579.83
2015,MSTR,565.314,656.894,486.279,79.894,11.401,0.167,105.931,172.658,105.931,149.699,529.869
2016,MSTR,684.987,768.319,590.12,75.147,11.435,1.101,90.908,185.486,90.908,110.589,512.161
2017,MSTR,763.611,835.728,676.109,82.249,11.447,,17.643,184.858,17.643,78.322,504.543
2000,CTSH,88.223,109.54,61.976,70.437,18.652,0,17.683,26.722,17.683,30.22,137.031
2001,CTSH,117.335,144.983,84.977,90.848,19.355,0,22.16,21.698,22.16,32.079,177.778
2002,CTSH,175.834,231.473,126.211,122.701,20.42,0,34.562,41.487,34.562,56.682,229.086
2003,CTSH,278.497,360.589,194.221,199.724,64.337,0,57.365,62.636,57.365,79.862,368.231
2004,CTSH,453.997,572.745,314.761,319.81,134.177,0,100.243,115.06,100.243,127.333,586.673
2005,CTSH,663.423,869.893,424.001,479.915,139.346,0,166.266,155.748,166.266,159.76,885.83
2006,CTSH,1040.391,1325.981,648.159,787.923,142.513,0,232.795,249.503,232.795,252.876,1424.267
2007,CTSH,1242.179,1838.306,670.425,1206.035,288.012,0,350.133,340.684,350.133,344.32,2135.577
2008,CTSH,1468.119,2374.56,762.579,1572.816,291.67,0,430.845,387.577,430.845,429.705,2816.304
2009,CTSH,2307.568,3338.24,1399.332,1849.443,297.231,0,534.963,646.608,534.963,672.325,3278.663
2010,CTSH,3518.234,4583.074,2226.388,2654.569,303.941,0,733.54,930.726,733.54,764.654,4592.389
