fyear,tic,ACT,AT,C&E,COGS,SHARE,TD,IB,CL,NI,CFO,REVT
2016,SGMA,109.032,151.186,3.493,222.996,4.196,32.621,1.39,55.611,1.39,-0.054,252.236
2017,SGMA,120.03,161.23,1.722,245.976,4.215,44.058,-3.242,59.378,-3.242,-4.717,278.132
2000,DSPG,248.947,282.807,223.201,46.15,26.248,0,49.835,28.026,49.835,33.023,109.513
2001,DSPG,130.771,312.379,110.039,51.14,26.874,0,21.916,23.443,21.916,25.498,114.674
2002,DSPG,104.853,280.072,85.29,71.823,27.248,0,12.672,28.297,15.142,34.275,125.158
2003,DSPG,106.4,368.47,79.302,79.474,28.616,0,25.355,45.513,25.355,34.492,152.875
2004,DSPG,154.15,366.961,135.324,77.144,27.954,0,51.094,47.687,51.094,27.393,157.511
2005,DSPG,191.909,400.005,159.388,95.33,28.596,0,29.473,46.164,29.473,25.162,187.225
2006,DSPG,210.934,413.988,169.514,121.415,28.378,0,22.379,41.174,22.379,30.274,216.948
2007,DSPG,213.449,512.843,133.268,141.228,31.23,2.273,-4.753,77.189,-4.753,55.49,248.788
2008,DSPG,152.824,249.254,81.45,184.048,26.731,2.465,-212.394,60.465,-212.394,16.37,305.8
2009,DSPG,110.792,219.769,57.673,126.374,22.901,0.455,-8.436,42.779,-8.436,26.597,212.186
2010,DSPG,114.332,222.555,63.936,134.339,23.253,0,-7.425,42.259,-7.425,22.333,225.482
2011,DSPG,96.372,196.056,48.863,119.49,22.502,0,-16.242,36.362,-16.242,-0.598,193.861
2012,DSPG,79.082,185.182,42.006,98.492,21.674,0,-8.042,29.98,-8.042,10.205,162.79
2013,DSPG,73.812,192.265,37.55,89.243,22.35,0,2.676,31.511,2.676,13.25,151.063
2014,DSPG,71.285,191.179,32.675,84.702,21.844,0,3.602,31.693,3.602,10.379,143.036
2015,DSPG,65.925,183.962,31.942,83.055,21.573,0,1.562,27.573,1.562,12.224,144.271
2016,DSPG,78.002,185.945,46.854,75.319,21.931,0,4.813,25.9,4.813,16.515,137.869
2017,DSPG,72.55,185.199,46.545,65.277,22.433,0,-3.003,21.479,-3.003,8.503,124.753
2000,FLEX,4456.047,7571.655,631.588,11191.437,481.531,1242.967,-446.019,2541.306,-446.019,-502.431,12109.699
2001,FLEX,4553.187,8644.699,745.124,12237.584,513.012,1162.328,-153.748,3158.304,-153.748,858.908,13104.847
2002,FLEX,3478.76,8394.104,424.02,12672.548,520.228,1109.959,-83.453,2581.019,-83.453,607.784,13378.699
2003,FLEX,4261.733,9583.937,615.276,13429.891,529.944,1728.751,-352.378,3376.917,-352.378,187.698,14530.416
2004,FLEX,4787.165,11007.572,869.258,14518.88,568.33,1725.432,339.871,3880.194,339.871,724.265,15908.223
2005,FLEX,4896.936,10958.407,998.531,14090.061,578.142,1489.342,110.518,3958.304,141.162,549.356,15287.976
2006,FLEX,5591.047,12341.374,714.525,17497.159,607.545,1494.096,320.9,4488.068,508.638,276.376,18853.688
2007,FLEX,10312.937,19524.915,1719.948,25634.387,835.203,3406.162,-639.37,7401.015,-639.37,1042.833,27558.135
2008,FLEX,7935.006,11317.48,1821.886,28938.047,809.633,2967.786,-6086.147,6414.726,-6086.147,1316.779,30948.575
2009,FLEX,7990.001,10642.552,1927.556,22451.272,813.429,2256.809,18.594,6347.211,18.594,798.916,24110.733
2010,FLEX,9054.199,11633.152,1748.471,26697.699,756.994,2220.374,596.219,6828.931,596.219,857.344,28679.925
2011,FLEX,8534.55,11033.804,1518.329,27458.115,683.74,2197.138,510.645,6288.185,488.765,804.268,29387.656
2012,FLEX,7771.401,10591.555,1587.087,21775.125,638.92,2076.727,302.502,6172.785,277.051,1115.43,23569.475
2013,FLEX,9400.326,12500.15,1593.728,24194.099,591.427,2111.478,365.594,7656.687,365.594,1216.46,26108.607
2014,FLEX,8740.9,11665.624,1628.408,24117.851,563.323,2089.02,600.801,6756.223,600.801,794.034,26147.916
2015,FLEX,8315.126,12384.981,1607.57,22385.095,544.824,2799.609,444.081,6572.205,444.081,1136.445,24418.885
2016,FLEX,8387.776,12593.363,1830.675,21763.309,531.295,2971.278,319.564,6504.627,319.564,1149.909,23862.934
2017,FLEX,9170.414,13715.855,1472.424,23343.972,528.078,2954.642,428.534,7268.064,428.534,753.598,25441.131
2000,SSYS,28.239,37.582,6.737,11.759,5.474,0.319,0.988,8.225,0.988,0.663,35.611
2001,SSYS,30.027,41.951,10.211,13.026,5.393,2.401,2.513,8.432,2.513,6.244,37.572
2002,SSYS,32.419,43.6,14.194,13.513,5.339,2.219,3.111,8.677,3.111,6.997,39.808
2003,SSYS,71.06,84.1,45.494,16.048,10.259,0,6.156,10.204,6.156,4.491,50.89
2004,SSYS,81.858,99.199,55.85,25.644,10.442,0,9.129,14.312,9.129,15.931,70.329
2005,SSYS,65.934,104.68,30.105,32.259,10.116,0,10.603,18.411,10.603,8.125,82.844
2006,SSYS,75.524,118.004,33.877,48.535,10.145,0,11.164,20.212,11.164,12.396,103.809
2007,SSYS,89.023,148.757,43.47,47.644,21.011,0,14.324,24.923,14.324,21.169,112.243
2008,SSYS,86.247,147.123,32.781,51.079,20.222,0,13.615,24.561,13.615,14.491,124.495
2009,SSYS,106.391,153.137,64.389,43.717,20.365,0,4.116,23.553,4.116,25.491,98.357
2010,SSYS,84.213,178.46,36.352,52.153,20.822,0,9.37,25.971,9.37,21.971,122.087
2011,SSYS,93.223,221.77,34.694,63.267,21.246,0,20.626,29.137,20.626,22.512,155.894
2012,SSYS,323.278,1731.513,154.818,88.529,38.372,0,8.491,94.427,8.491,1.494,215.244
2013,SSYS,852.129,2782.221,614.458,181.936,49.211,0,-26.954,137.725,-26.954,32.029,484.403
2014,SSYS,796.628,2899.107,442.736,263.722,50.923,0,-119.42,250.566,-119.42,13.816,750.129
2015,SSYS,547.073,1414.356,258.163,281.612,52.082,0,-1372.835,172.727,-1372.835,-21.91,695.995
2016,SSYS,553.039,1366.049,280.328,256.433,52.639,26,-77.219,164.611,-77.219,61.973,672.458
2017,SSYS,614.911,1379.75,328.761,278.085,53.631,32.286,-39.981,163.297,-39.981,61.907,668.362
2000,AZPN,261.555,364.945,113.532,78.471,28.83,89.5,5.428,92.175,5.428,28.014,268.093
2001,AZPN,235.964,406.594,67.638,86.052,31.346,90.688,-20.375,108.55,-20.375,-13.383,310.624
2002,AZPN,240.139,548.343,52.12,106.039,37.501,97.469,-77.165,171.028,-77.165,-8.067,320.604
2003,AZPN,193.801,378.48,51.567,89.79,39.046,93.76,-160.833,151.863,-160.833,21.566,322.721
2004,AZPN,209.428,351.734,107.677,101.33,41.483,60.547,-21.806,193.548,-21.806,40.936,332.996
2005,AZPN,147.759,244.242,68.149,89.514,43.066,1.38,-69.372,143.783,-69.372,25.888,269.567
2006,AZPN,171.38,274.238,86.272,83.23,48.857,0.396,17.241,145.881,17.241,19.917,293.587
2007,AZPN,318.958,528.897,132.267,82.014,88.9,206.343,45.518,265.939,45.518,55.72,341.029
2010,AZPN,250.283,394.713,124.945,59.559,92.435,76.135,-107.445,155.817,-107.445,38.622,166.344
2011,AZPN,253.863,411.975,149.985,47.009,94.238,24.913,10.257,173.675,10.257,63.33,198.154
2012,AZPN,261.463,368.335,165.242,46.999,93.466,10.756,-13.808,195.719,-13.808,104.637,243.134
2013,AZPN,285.351,382.748,189.447,45.119,93.684,0,45.262,215.461,45.262,146.562,311.387
2014,AZPN,329.682,407.972,267.145,47.473,91.662,0,85.783,266.504,85.783,200.131,391.453
2015,AZPN,263.63,315.361,215.446,43.36,84.504,0,118.407,296.466,118.407,191.985,440.401
2016,AZPN,361.323,419.738,321.342,42.55,80.178,0,139.951,432.623,139.951,153.744,472.344
2017,AZPN,146.186,247.942,101.954,41.061,73.421,0,162.196,467.243,162.196,182.386,482.942
2000,MIND,21.926,72.561,11.402,6.972,8.975,7.3,-2.946,13.129,-2.946,13.325,20.597
2001,MIND,12.933,58.795,8.244,7.232,8.751,6.594,-8.457,12.113,-8.457,12.269,27.183
2002,MIND,9.353,44.34,5.17,11.713,8.743,6.714,-10.099,6.06,-10.099,-1.843,19.154
2003,MIND,14.878,40.73,6.834,7.041,8.8,5.917,-3.574,7.515,-6.289,4.45,22.406
2004,MIND,21.449,41.395,13.138,6.27,8.979,0.918,2.049,7.518,2.129,17.029,26.368
2005,MIND,29.741,57.62,18.976,7.937,9.445,3,10.855,7.169,10.855,11.189,34.589
2006,MIND,35.986,83.302,12.582,16.515,9.682,3,9.285,22.296,9.285,3.586,48.91
2007,MIND,38.737,103.901,13.884,30.212,9.787,1.5,11.439,24.742,11.439,31.004,76.421
2008,MIND,29.059,104.227,6.032,19.137,9.803,5.95,9.065,17.862,9.065,17.618,66.812
2009,MIND,34.673,115.397,6.735,19.335,9.812,15.828,0.52,11.449,0.52,14.085,55.172
2010,MIND,44.754,137.971,14.647,23.367,9.947,26.52,4.729,15.599,4.729,30.137,71.363
2011,MIND,65.278,198.229,15.385,27.682,12.631,14.183,24.321,23.981,24.321,35.958,112.834
2012,MIND,57.878,190.407,15.951,33.867,12.837,4.383,17.051,9.48,17.051,44.257,104.685
2013,MIND,62.16,205.419,15.243,30.681,12.832,22.2,4.768,12.438,4.768,21.215,92.108
2014,MIND,54.149,179.611,5.359,25.493,12.084,26.355,-9.192,10,-9.192,25.205,83.146
2015,MIND,40.696,134.759,3.769,19.688,12.091,20.484,-38.736,12.456,-38.736,15.047,51.819
2016,MIND,35.059,94.714,3.511,22.66,12.09,6.371,-33.153,13.465,-33.153,3.154,40.999
2017,MIND,33.046,73.679,10.146,27.822,12.09,0,-21.069,7.523,-21.069,0.719,48.276
2000,TSEM,58.742,179.298,18.707,62.72,12.263,12.064,-3.989,30.107,-3.989,16.185,104.775
2001,TSEM,67.42,472.054,33.202,55.012,24.997,119,-38.522,83.755,-38.522,4.259,52.372
2002,TSEM,110.081,716.261,69.695,48.201,43.436,281.121,-51.402,88.154,-51.402,0.933,51.801
2003,TSEM,100.305,788.335,56.49,67.784,51.695,456.783,-114.261,49.813,-114.261,-67.678,61.368
2004,TSEM,139.595,847.508,81.457,107.343,65.7,523.651,-137.768,76.004,-137.768,-34.9,126.055
2005,TSEM,90.241,678.686,38.998,93.506,66.932,569.407,-203.082,96.269,-203.082,-60.738,101.991
2006,TSEM,120.437,699.718,40.94,112.596,100.753,425.754,-86.928,83.856,-86.928,-45.455,187.438
2007,TSEM,123.647,686.782,44.536,130.428,124.226,531.193,-134.196,76.936,-134.196,16.683,230.853
2008,TSEM,129.471,705.503,34.905,159.875,160.026,439.831,-106.435,106.628,-106.435,12.561,251.659
2009,TSEM,167.473,650.837,81.795,181.906,198.961,428.813,-120.459,97.36,-120.459,37.249,298.812
2010,TSEM,322.075,801.728,198.382,259.054,265.536,451.659,-42.367,250.022,-42.367,121.445,509.262
2011,TSEM,266.09,857.221,101.149,363.519,318.29,344.565,-18.53,230.26,-18.53,107.993,611.023
2012,TSEM,298.505,814.64,133.398,386.461,22.312,319.777,-70.269,169.319,-70.269,75.179,638.831
2013,TSEM,290.414,705.887,122.871,312.076,47.87,353.326,-107.66,139.916,-107.66,42.268,505.009
2014,TSEM,394.084,884.146,187.167,520.858,58.034,387.645,4.263,300.325,4.263,97.765,828.008
2015,TSEM,446.727,966.224,205.575,588.895,82.058,290.134,-29.647,211.119,-29.647,170.306,960.561
2016,TSEM,697.998,1379.884,389.377,746.674,92.985,334.228,203.924,247.115,203.924,327.468,1249.634
2017,TSEM,874.332,1673.639,559.835,824.594,98.458,281.384,298.011,302.373,298.011,355.635,1387.31
2000,BRKS,395.384,513.128,219.237,159.657,17.218,0.801,12.753,92.304,12.753,-13.178,321.099
2001,BRKS,383.136,703.831,203.832,200.816,18.903,175.423,-29.66,95.1,-29.66,19.566,381.716
2002,BRKS,333.553,657.497,150.65,191.084,36.199,175.185,-719.954,157.215,-719.954,-55.659,304.254
2003,BRKS,270.012,492.701,129.48,213.577,37.266,175.123,-185.76,134.857,-185.76,-48.33,343.61
2004,BRKS,461.135,671.039,255.367,321.567,44.692,175.025,17.721,166.998,17.721,8.855,539.769
2005,BRKS,468.326,624.08,324.023,288.064,45.435,0.014,-8.096,300.095,-11.612,31.114,463.746
2006,BRKS,432.812,992.577,184.053,404.772,75.432,0.013,25.841,180.179,25.93,65.473,692.87
2007,BRKS,479.521,1014.838,248.334,490.862,70.424,0,54.301,142.797,151.472,72.873,743.258
2008,BRKS,338.646,663.638,143.346,365,63.583,0,-236.625,102.851,-235.946,13.656,526.366
2009,BRKS,221.189,413.322,88.031,174.31,64.421,0,-227.858,70.489,-227.858,-56.494,218.706
2010,BRKS,327.331,518.224,108.834,408.257,65.407,0,58.982,108.155,58.982,27.872,592.972
2011,BRKS,320.524,636.62,125.821,447.21,66.275,0,128.352,95.739,128.352,87.65,688.105
2012,BRKS,347.489,741.96,141.048,323.479,66.329,0,136.789,81.191,136.789,36.038,519.451
2013,BRKS,330.119,736.763,129.048,275.864,66.577,0,-2.215,92.561,-2.215,54.389,450.952
2014,BRKS,374.313,778.038,162.244,289.049,66.914,8.298,1.359,113.841,31.361,53.781,482.848
2015,BRKS,373.477,759.654,150.743,336.932,67.631,0,14.221,114.251,14.221,43.727,552.708
2016,BRKS,299.334,685.905,85.125,344.371,68.758,0,-69.476,119.793,-69.476,39.547,560.323
2017,BRKS,352.011,766.628,101.65,410.04,69.833,0,62.612,146.778,62.612,96.224,692.885
2000,NATI,284.559,389.35,154.802,85.526,50.635,0,55.157,64.351,55.157,54.996,410.149
2001,NATI,263.758,424.619,150.511,88.697,51.162,0,36.402,53.922,36.402,57.153,385.275
2002,NATI,277.966,458.714,153.878,89.086,51.075,0,31.405,66.513,31.405,49.133,390.79
2003,NATI,331.125,525.151,194.673,93.172,52.179,0,33.368,75.795,33.368,63.096,425.892
2004,NATI,392.304,582.415,226.608,118.173,78.946,0,48.61,82.669,48.61,65.632,514.088
2005,NATI,362.306,608.336,175.71,120.756,79.276,0,61.517,87.62,61.517,88.05,571.841
2006,NATI,477.094,721.22,250.477,135.326,79.884,0,72.708,102.582,72.708,97.891,660.407
2007,NATI,545.21,818.812,288.677,145.584,79.405,0,107.033,125.336,107.033,147.372,740.378
2008,NATI,529.023,832.591,235.62,170.006,77.193,0,84.827,130.731,84.827,121.818,820.537
2009,NATI,532.178,813.029,288.661,131.084,77.368,0,17.085,118.419,17.085,135.651,676.594
2010,NATI,650.718,959.682,350.662,161.183,78.603,0,109.116,166.312,109.116,145.058,873.22
2011,NATI,719.549,1154.294,366.112,193.81,120.677,0,94.072,222.92,94.072,169.899,1042.01
2012,NATI,767.7,1284.769,335.162,226.298,122.879,0,90.137,244.956,90.137,132.516,1144.499
2013,NATI,828.595,1343.551,393.412,241.997,125.69,0,80.513,225.355,80.513,169.479,1172.558
2014,NATI,947.82,1455.491,471.193,250.866,127.849,0,126.333,247.657,126.333,195.11,1243.862
2015,NATI,799.74,1453.856,332.918,245.567,127.472,37,95.262,240.215,95.262,162.637,1225.456
2016,NATI,834.647,1496.564,358.4,240.839,129.203,25,82.734,260.075,82.734,195.84,1228.179
2017,NATI,894.09,1566.434,412.052,256.14,130.979,0,52.411,269.255,52.411,224.442,1289.386
2000,HLIT,289.053,425.944,99.669,174.898,57.891,0,-1654.008,94.435,-1654.008,-359.485,263.046
2001,HLIT,138.463,238.056,54.277,135.028,59.063,2.746,-166.407,71.855,-166.407,-24.768,203.81
2002,HLIT,105.936,173.754,49.158,113.442,60.064,2.572,-76.918,74.69,-76.918,-5.404,186.632
2003,HLIT,179.746,224.726,112.597,106.672,71.24,1.656,-29.433,84.357,-29.433,-5.559,182.276
2004,HLIT,215.022,242.356,100.607,132.278,72.286,2.585,1.574,97.91,1.574,-9.022,248.306
2005,HLIT,201.148,226.297,110.828,154.618,73.636,1.426,-5.731,83.795,-5.731,16.054,257.378
2006,HLIT,211.968,281.962,92.371,135.578,78.386,0.532,1.007,114.57,1.007,8.634,247.684
2007,HLIT,393.808,475.779,269.26,164.695,93.772,0,23.421,110.532,23.421,35.36,311.204
2008,HLIT,470.33,564.363,327.163,174.78,95.017,0,63.992,95.199,63.992,60.127,364.963
2009,HLIT,418.298,556.304,271.07,160.455,96.11,6.908,-24.139,93.113,-24.139,11.088,319.566
2010,HLIT,348.551,720.386,120.371,202.967,112.36,0,-4.335,130.653,-4.335,17.837,423.344
2011,HLIT,391.878,734.166,161.837,259.449,116.257,0,8.779,112.818,8.779,45.177,549.332
2012,HLIT,396.872,717.531,201.176,258.215,114.193,0,-10.937,102.894,-10.937,70.813,530.464
2013,HLIT,328.73,606.084,170.581,204.798,99.413,0,21.589,85.08,37.027,53.759,461.94
2014,HLIT,232.684,480.518,104.879,190.69,87.7,0,-46.248,89.93,-46.248,47.369,433.557
2015,HLIT,286.131,524.957,153.887,160.242,76.015,98.295,-15.661,84.881,-15.661,6.351,377.027
2016,HLIT,216.835,554.069,63.289,177.27,78.456,124.449,-72.314,144.897,-72.314,0.438,405.911
2017,HLIT,171.775,508.059,57.554,167.026,82.554,131.694,-82.955,142.089,-82.955,3.064,358.246
2000,KFRC,136.35,278.018,1.865,433.441,32.157,45,-0.283,65.465,-0.283,28.311,794.997
2001,KFRC,85.614,222.772,0.255,393.623,31.74,28.185,-12.088,42.531,-12.088,40.899,646.023
2002,KFRC,68.792,152.177,1.053,349.61,30.258,22,-13.208,36.666,-47.031,14.844,513.547
2003,KFRC,79.044,160.317,13.715,342.929,30.553,22,5.118,36.861,5.118,12.981,495.585
2004,KFRC,113.993,273.195,0.363,458.652,37.277,36.82,25.011,89.163,25.011,6.38,661.451
2005,KFRC,155.559,324.746,37.104,542.563,38.657,41.052,22.321,63.02,22.321,49.148,802.265
2006,KFRC,150.454,442.618,1.589,612.423,40.932,91.894,32.519,86.029,32.519,51.948,938.448
2007,KFRC,180.914,476.136,1.083,664.572,41.554,56.859,40.367,85.566,40.367,48.77,1036.915
2008,KFRC,145.746,350.815,0.66,652.366,38.016,42.233,-89.121,85.444,-84.108,89.328,997.017
2009,KFRC,137.137,339.825,2.812,624.157,39.105,6.245,12.873,79.213,12.873,42.696,910.136
2010,KFRC,165.201,391.044,1.055,678.393,41.719,3.594,20.634,100.323,20.634,28.59,990.807
2011,KFRC,186.239,409.672,0.939,764.616,37.922,52.598,27.156,83.164,27.156,31.24,1110.919
2012,KFRC,171.559,325.149,1.381,734.546,34.551,23.141,-35.712,98.874,-13.703,55.978,1082.479
2013,KFRC,202.886,347.768,0.875,782.275,33.729,64.006,10.787,89.973,10.787,0.465,1151.887
2014,KFRC,224.409,363.922,1.238,842.75,29.413,93.895,29.398,94.183,90.915,-25.582,1217.331
2015,KFRC,214.534,351.822,1.497,905.124,28.428,83.823,42.824,87.746,42.824,70.18,1319.238
2016,KFRC,223.505,365.421,1.482,911.207,26.799,115.531,32.773,83.353,32.773,39.447,1319.706
2017,KFRC,245.445,384.304,0.379,949.884,26.327,119.12,33.285,83.719,33.285,29.339,1357.94
2000,ASML,1961.686,2246.117,780.384,1132.583,418.968,769.48,323.443,451.523,322.45,286.254,2029.398
2001,ASML,2290.267,3211.281,802.572,1080.669,466.978,1353.162,-422.13,730.331,-422.13,-336.34,1625.417
2002,ASML,2532.488,3461.82,701.195,1300.796,482.182,1137.088,-92.315,789.284,-217.902,-190.433,2053.668
2003,ASML,2708.137,3613.175,1294.728,1296.426,482.537,1083.424,-156.84,864.808,-201.824,641.607,1943.386
2004,ASML,3630.908,4391.41,1662.642,1993.501,483.7,1106.505,318.766,1100.83,318.766,340.165,3337.627
2005,ASML,3796.331,4447.882,2255.438,1724.067,484.693,1040.807,368.836,1681.544,368.836,842.55,2994.803
2006,ASML,4521.342,5214.181,2185.234,2702.738,477.099,513.151,824.402,1559.111,824.402,630.166,4747.098
2007,ASML,4847.274,5940.138,1856.97,3193.231,435.626,880.885,1004.456,1905.353,1004.456,978.832,5561.814
2008,ASML,4138.465,5483.243,1543.873,2581.797,432.074,900.629,448.707,1403.513,448.707,390.77,4111.224
2009,ASML,3939.701,5342.249,1486.335,1498.082,433.639,970.423,-216.306,1496.504,-216.306,140.115,2287.477
2010,ASML,6560.811,8200.717,2587.235,3273.396,436.593,944.074,1355.853,2860.552,1355.853,1247.35,5981.583
2011,ASML,7403.443,9419.455,3543.941,3993.926,413.669,955.29,1903.087,2896.925,1903.087,2685.982,7331.088
2012,ASML,7689.867,9771.456,3557.057,3392.228,407.165,1001.463,1511.532,2750.973,1511.532,927.606,6239.028
2013,ASML,9680.544,15864.769,4148.275,3991.727,440.852,1480.65,1399.244,3952.728,1399.244,1452.545,7227.535
2014,ASML,8647.624,14767.994,3333.04,3707.889,432.935,1396.621,1448.054,3495.823,1448.054,1240.602,7086.681
2015,ASML,8369.793,14437.074,3701.526,3421.463,427.987,1226.725,1506.332,3374.078,1506.332,2199.577,6827.461
2016,ASML,9029.799,18155.73,4280.807,3696.23,429.941,3502.699,1553.143,3461.685,1553.143,1757.864,7169.822
2017,ASML,10828.215,21875.712,3953.194,5627.138,427.394,3637.015,2546.861,4017.632,2546.861,2185.96,10883.276
2000,SMSI,11.56,15.314,6.178,2.537,16.232,0,-3.155,2.887,-3.155,-2.508,13.738
2001,SMSI,6.51,9.257,3.226,2.673,16.232,0,-6.125,2.955,-6.125,-2.851,10.762
2002,SMSI,4.568,6.766,3.627,1.597,16.227,0,-0.688,1.154,-0.688,0.426,7.131
2003,SMSI,4.689,6.587,3.722,1.261,17.011,0,-0.923,0.997,-0.923,-0.767,7.216
2004,SMSI,10.943,12.828,8.634,2.764,18.011,0,3.445,1.729,3.445,3.018,13.316
2005,SMSI,29.087,42.716,21.215,3.202,22.147,0,4.724,3.759,4.724,2.464,20.258
2006,SMSI,103.769,131.026,92.564,18.161,28.444,0,8.956,4.969,8.956,9.85,54.469
2007,SMSI,104.54,162.421,87.549,17.446,30.258,0,3.161,7.907,3.161,18.256,73.377
2008,SMSI,58.86,176.995,36.615,11.662,31.4,0,-0.732,11.125,-0.732,16.449,98.424
2009,SMSI,75.596,205.934,45.861,4.946,33.38,0,4.752,16.891,4.752,18.477,107.279
2010,SMSI,109.336,234.892,72.55,3.729,34.971,0,12.346,14.703,12.346,24.744,130.501
2011,SMSI,64.245,79.941,45.972,3.584,35.612,0,-159.606,11.525,-159.606,-13.547,57.767
2012,SMSI,43.003,54.395,32.201,4.018,35.873,0,-25.463,8.243,-25.463,-12.805,43.329
2013,SMSI,24.293,31.538,14.841,5.701,36.994,0,-27.953,9.83,-27.953,-16.574,42.675
2014,SMSI,22.829,27.39,13.045,6.386,45.001,0,-11.799,8.845,-11.799,-6.849,36.979
2015,SMSI,21.786,24.473,12.897,6.248,45.729,0,-2.602,7.212,-2.602,-0.055,39.507
2016,SMSI,7.917,14.308,2.229,6.183,12.298,1.934,-14.512,5.508,-14.512,-11.503,28.235
2017,SMSI,7.926,13.877,2.205,4.16,14.269,3.758,-6.661,4.816,-6.661,-7.419,22.974
2000,RSYS,262.838,334.003,133.885,292.891,17.07,97.191,29.345,57.481,32.646,44.593,340.676
2001,RSYS,191.909,304.86,100.153,230.806,17.347,104.264,-34.486,49.969,-34.486,5.353,227.752
2002,RSYS,169.805,274.086,105.799,195.77,17.605,84.037,-3.305,37.331,-3.305,23.23,200.139
2003,RSYS,262.296,365.562,194.381,181.81,18.274,164.6,6.01,39.972,1.331,17.107,202.795
2004,RSYS,233.624,345.238,158.869,161.252,19.655,107.015,13.011,46.99,13.011,24.718,245.824
2005,RSYS,300.25,368.711,225.855,177.498,20.703,99.777,15.958,51.091,15.958,32.171,260.234
2006,RSYS,221.384,381.654,125.984,207.047,21.835,99.822,-13.016,59.809,-13.016,9.062,292.811
2007,RSYS,232.633,393.108,123.272,232.692,22.312,97.548,-17.552,169.547,-17.552,19.971,325.232
2008,RSYS,164.636,309.026,73.98,255.908,23.033,50,-65.95,98.569,-65.95,34.855,372.584
2009,RSYS,235.19,277.034,162.826,198.685,23.876,50,-42.567,94.752,-42.567,25.44,304.273
2010,RSYS,200.133,240.928,129.078,185.905,24.351,50,-0.369,53.084,-0.369,16.089,284.311
2011,RSYS,147.427,294.492,47.77,219.933,27.949,45,-4.225,76.39,-4.225,14.808,330.865
2012,RSYS,125.988,232.394,33.182,181.331,28.471,34.919,-43.474,84.101,-43.474,5.611,286.096
2013,RSYS,100.693,176.185,25.482,156.975,29.198,33,-49.404,73.773,-49.404,-2.091,237.863
2014,RSYS,103.384,160.72,31.242,127.777,36.532,18,-27.581,80.144,-27.581,-6.797,192.742
2015,RSYS,126.729,167.069,20.764,119.003,36.959,0,-14.678,98.167,-14.678,5.057,184.593
2016,RSYS,98.637,128.185,33.087,144.088,38.521,0,-10.251,65.663,-10.251,9.809,212.392
2017,RSYS,51.816,66.029,8.124,89.04,39.28,0,-52.604,52.613,-52.604,-11.888,133.768
2000,IVAC,68.714,86.67,38.403,27.196,11.844,41.245,-12.324,27.621,-12.324,0.022,36.049
2001,IVAC,48.372,60.165,18.157,35.162,12.004,37.545,-17.739,21.212,-16.936,-11.772,51.484
2002,IVAC,50.494,60.298,28.457,23.898,12.125,30.568,8.774,19.185,8.774,0.82,33.784
2003,IVAC,47.744,55.975,19.507,24.501,16.953,0,-12.303,25.106,-12.303,-10.25,36.294
2004,IVAC,63.14,79.622,42.034,51.728,20.182,0,-4.344,10.04,-4.344,-9.404,69.615
2005,IVAC,119.229,130.444,49.731,91.501,20.669,0,16.151,41.876,16.151,1.396,137.229
2006,IVAC,178.679,206.003,95.035,156.07,21.188,0,46.698,60.618,46.698,55.191,259.875
2007,IVAC,182.704,215.413,138.658,115.37,21.591,3.89,27.345,28.074,27.345,40.464,215.834
2008,IVAC,79.899,189.169,39.201,61.173,21.805,2,-15.345,15.591,-15.345,-8.194,110.307
2009,IVAC,95.65,203.378,23.592,39.676,22.079,0,-10.077,31.769,-10.077,-16.569,77.981
2010,IVAC,170.85,251.771,114.514,108.993,22.558,0,28.049,32.898,28.049,51.314,202.526
2011,IVAC,128.092,225.821,82.145,47.12,23.122,0,-21.975,23.989,-21.975,-16.279,82.974
2012,IVAC,112.987,172.503,64.852,44.787,23.466,0,-55.319,20.636,-55.319,-19.716,83.424
2013,IVAC,108.132,148.276,69.096,42.826,23.767,0,-15.696,16.99,-15.696,-8.966,69.632
2014,IVAC,84.106,120.275,51.08,43.369,23.275,0,-27.445,19.445,-27.445,-2.786,65.55
2015,IVAC,69.736,97.681,36.954,44.165,20.372,0,-9.166,19.273,-9.166,0.503,75.16
2016,IVAC,88.736,108.324,44.645,44.878,20.939,0,-7.441,31.976,-7.441,3.783,80.124
2017,IVAC,92.429,115.023,35.639,63.313,21.811,0,4.118,29.481,4.118,-2.378,112.847
2000,NTAP,635.517,1036.252,364.025,371.179,328.746,0,74.886,218.773,74.886,218.353,1006.186
2001,NTAP,679.128,1108.806,454.127,273.451,335.135,0,3.033,215.56,3.033,143.893,798.369
2002,NTAP,853.492,1319.173,618.838,288.231,340.668,0,76.472,265.016,76.472,195.25,892.068
2003,NTAP,1089.236,1877.266,807.965,406.336,357.482,0,152.087,344.223,152.087,310.887,1170.31
2004,NTAP,1575.889,2372.647,1169.965,557.459,366.943,0,225.754,520.189,225.754,462.118,1598.131
2005,NTAP,2033.21,3260.965,1461.431,728.198,375.998,300,266.452,917.163,266.452,554.282,2066.456
2006,NTAP,2240.803,3658.478,1427.093,988.949,367.03,85.11,297.735,1187.547,297.735,864.456,2804.282
2007,NTAP,2067.433,4070.988,1167.343,1145.607,341.715,172.6,309.738,1414.102,309.738,1008.886,3303.167
2008,NTAP,3438.784,5472.819,2604.206,1245.94,332.24,1265,86.545,1679.325,86.545,889.23,3535.108
2009,NTAP,4537.1,6494.4,3726.1,1246.2,347.3,1101.5,400.4,1911,400.4,975,3931.4
