Ticker,Date,Price,Returns,Shares
SANM,20160229,20.6,0.099253,77184
SANM,20160331,23.38,0.134951,77184
SANM,20160429,23.65,0.011548,73633
SANM,20160531,26.79,0.13277,73633
SANM,20160630,26.81,0.000746,73633
SANM,20160729,25.34,-0.05483,73906
SANM,20160831,26.28,0.037096,73906
SANM,20160930,28.47,0.083333,73031
SANM,20161031,27.65,-0.028802,73031
SANM,20161130,32.85,0.188065,73421
SANM,20161230,36.65,0.115677,74293
SANM,20170131,38.95,0.062756,74293
SANM,20170228,39,0.001284,74293
SANM,20170331,40.6,0.041026,75535
SANM,20170428,37.25,-0.082512,75535
SANM,20170531,36.6,-0.01745,75535
SANM,20170630,38.1,0.040984,75372
SANM,20170731,35.85,-0.059055,75372
SANM,20170831,37.45,0.04463,75372
SANM,20170929,37.15,-0.008011,71664
SANM,20171031,32.725,-0.119112,71664
SANM,20171130,34,0.038961,72021
SANM,20171229,33,-0.029412,71246
SANM,20180131,26.15,-0.207576,71246
BBSI,20120131,19.25,-0.035571,9871
BBSI,20120229,17.02,-0.11013,9871
BBSI,20120330,19.83,0.1651,6991
BBSI,20120430,19.8,-0.001513,6991
BBSI,20120531,19.75,0.00303,6991
BBSI,20120629,21.14,0.07038,7003
BBSI,20120731,26.12,0.235572,7004
BBSI,20120831,25.34,-0.025651,7004
BBSI,20120928,27.1,0.069455,7013
BBSI,20121031,29.83,0.100738,7012
BBSI,20121130,33.25,0.119008,7012
BBSI,20121231,38.09,0.145564,7017
BBSI,20130131,40.24,0.056445,7017
BBSI,20130228,43.68,0.088718,7017
BBSI,20130328,52.66,0.205586,7041
BBSI,20130430,52.94,0.005317,7044
BBSI,20130531,58.33,0.104269,7044
BBSI,20130628,52.21,-0.10492,7107
BBSI,20130731,70.26,0.345719,7122
BBSI,20130830,64.27,-0.083405,7122
BBSI,20130930,67.31,0.0473,7165
BBSI,20131031,83.27,0.237112,7165
BBSI,20131129,84.52,0.017173,7165
BBSI,20131231,92.74,0.097255,7165
BBSI,20140131,78.41,-0.154518,7165
BBSI,20140228,70,-0.104961,7165
BBSI,20140331,59.57,-0.149,7173
BBSI,20140430,50.41,-0.153769,7176
BBSI,20140530,47.16,-0.060901,7176
BBSI,20140630,47,-0.003393,7162
BBSI,20140731,57.08,0.214468,7178
BBSI,20140829,59.19,0.040119,7178
BBSI,20140930,39.49,-0.332826,7163
BBSI,20141031,23.51,-0.404659,7117
BBSI,20141128,21.82,-0.062527,7117
BBSI,20141231,27.4,0.255729,7126
BBSI,20150130,30.65,0.118613,7126
BBSI,20150227,37.25,0.222512,7126
BBSI,20150331,42.84,0.150067,7141
BBSI,20150430,44.47,0.038049,7142
BBSI,20150529,36.01,-0.185294,7142
BBSI,20150630,36.32,0.008609,7175
BBSI,20150731,41.4,0.139868,7202
BBSI,20150831,35.65,-0.133575,7202
BBSI,20150930,42.93,0.204208,7202
BBSI,20151030,48.98,0.140927,7202
BBSI,20151130,44.65,-0.083912,7202
BBSI,20151231,43.54,-0.02486,7203
BBSI,20160129,39.17,-0.100368,7203
BBSI,20160229,34.94,-0.102374,7203
BBSI,20160331,28.75,-0.177161,7210
BBSI,20160429,31.01,0.078609,7210
BBSI,20160531,37.36,0.211867,7210
BBSI,20160630,41.32,0.105996,7210
BBSI,20160729,42.98,0.040174,7210
BBSI,20160831,46.66,0.09074,7244
BBSI,20160930,49.61,0.063223,7244
BBSI,20161031,44.83,-0.096352,7244
BBSI,20161130,58.29,0.305153,7244
BBSI,20161230,64.1,0.099674,7244
BBSI,20170131,60.11,-0.062246,7244
BBSI,20170228,64.03,0.069373,7244
BBSI,20170331,54.62,-0.146962,7252
BBSI,20170428,57.66,0.055657,7252
BBSI,20170531,57.07,-0.005897,7252
BBSI,20170630,57.29,0.003855,7256
BBSI,20170731,55.03,-0.039448,7256
BBSI,20170831,51.58,-0.05815,7295
BBSI,20170929,56.53,0.095967,7300
BBSI,20171031,60.79,0.075358,7300
BBSI,20171130,66.36,0.095739,7300
BBSI,20171229,64.49,-0.02818,7301
BBSI,20180131,69.69,0.080633,7301
INOD,20120131,4.09,0.038071,24691
INOD,20120229,5.73,0.400978,24691
INOD,20120330,5.39,-0.059337,24767
INOD,20120430,5.51,0.022264,24767
INOD,20120531,5.57,0.010889,24767
INOD,20120629,6.84,0.228007,24859
INOD,20120731,3.84,-0.438597,24859
INOD,20120831,4.12,0.072917,24859
INOD,20120928,4.05,-0.01699,24889
INOD,20121031,3.59,-0.11358,24889
INOD,20121130,3.7,0.030641,24889
INOD,20121231,3.78,0.021622,24889
INOD,20130131,3.76,-0.005291,24889
INOD,20130228,3.49,-0.071809,24889
INOD,20130328,3.45,-0.011461,24965
INOD,20130430,3.28,-0.049275,24965
INOD,20130531,3.16,-0.036585,24965
INOD,20130628,3.2,0.012658,24965
INOD,20130731,2.7,-0.15625,25050
INOD,20130830,2.73,0.011111,25050
INOD,20130930,2.59,-0.051282,25050
INOD,20131031,2.4,-0.073359,25050
INOD,20131129,2.57,0.070833,25050
INOD,20131231,2.45,-0.046693,25050
INOD,20140131,2.89,0.179592,25050
INOD,20140228,3.28,0.134948,25050
INOD,20140331,2.91,-0.112805,25057
INOD,20140430,3.37,0.158076,25057
INOD,20140530,3.25,-0.035608,25057
INOD,20140630,3.22,-0.009231,25248
INOD,20140731,3.04,-0.055901,25270
INOD,20140829,3.1,0.019737,25270
INOD,20140930,3.05,-0.016129,25336
INOD,20141031,2.64,-0.134426,25337
INOD,20141128,2.88,0.090909,25337
INOD,20141231,2.92,0.013889,25337
INOD,20150130,2.86,-0.020548,25337
INOD,20150227,2.69,-0.059441,25337
INOD,20150331,2.62,-0.026022,25337
INOD,20150430,2.78,0.061069,25337
INOD,20150529,2.75,-0.010791,25337
INOD,20150630,2.63,-0.043636,25337
INOD,20150731,2.62,-0.003802,25337
INOD,20150831,2.39,-0.087786,25337
INOD,20150930,2.33,-0.025105,25484
INOD,20151030,2.36,0.012876,25484
INOD,20151130,2.91,0.233051,25484
INOD,20151231,2.85,-0.020619,25445
INOD,20160129,2.41,-0.154386,25445
INOD,20160229,2.3,-0.045643,25445
INOD,20160331,2.26,-0.017391,25445
INOD,20160429,2.25,-0.004425,25445
INOD,20160531,2.43,0.08,25445
INOD,20160630,2.45,0.00823,25445
INOD,20160729,2.53,0.032653,25445
INOD,20160831,2.3,-0.090909,25445
INOD,20160930,2.48,0.078261,25624
INOD,20161031,2.5,0.008065,25624
INOD,20161130,2.4,-0.04,25624
INOD,20161230,2.45,0.020833,25624
INOD,20170131,2.3,-0.061225,25624
INOD,20170228,2.25,-0.021739,25624
INOD,20170331,2.2,-0.022222,25878
INOD,20170428,2.1,-0.045455,25877
INOD,20170531,1.9,-0.095238,25877
INOD,20170630,1.75,-0.078947,25878
INOD,20170731,1.7,-0.028571,25878
INOD,20170831,1.55,-0.088235,25877
INOD,20170929,1.5,-0.032258,25878
INOD,20171031,1.3,-0.133333,25877
INOD,20171130,1.2,-0.076923,25877
INOD,20171229,1.36,0.133333,25878
INOD,20180131,1.16,-0.147059,25878
HHS,20120131,9.65,0.061606,62816
HHS,20120229,8.74,-0.085492,62816
HHS,20120330,9.05,0.035469,62826
HHS,20120430,8.4,-0.071823,63607
HHS,20120531,8.44,0.014881,62998
HHS,20120629,9.14,0.082938,62998
HHS,20120731,6.3,-0.310722,62998
HHS,20120831,6.96,0.118254,63021
HHS,20120928,6.93,-0.00431,63021
HHS,20121031,5.57,-0.196248,63021
HHS,20121130,5.29,-0.035009,62773
HHS,20121231,5.9,0.13138,62773
HHS,20130131,8.19,0.388135,62773
HHS,20130228,7.27,-0.112332,62773
HHS,20130328,7.79,0.071527,62395
HHS,20130430,7.93,0.017972,63244
HHS,20130531,8.94,0.138083,62439
HHS,20130628,8.6,-0.038031,62439
HHS,20130731,9.56,0.111628,62439
HHS,20130830,8.3,-0.122908,62531
HHS,20130930,8.83,0.063855,62531
HHS,20131031,7.97,-0.097395,62531
HHS,20131129,7.96,0.00941,62548
HHS,20131231,7.82,-0.017588,62548
HHS,20140131,6.85,-0.124041,62548
HHS,20140228,7.99,0.178832,62548
HHS,20140331,8.84,0.106383,62569
HHS,20140430,8.04,-0.090498,63255
HHS,20140530,7.11,-0.105099,62780
HHS,20140630,7.19,0.011252,62780
HHS,20140731,6.56,-0.087622,62780
HHS,20140829,7.01,0.081555,62508
HHS,20140930,6.37,-0.091298,62508
HHS,20141031,6.51,0.021978,62508
HHS,20141128,6.12,-0.046851,62068
HHS,20141231,7.74,0.264706,62068
HHS,20150130,7.27,-0.060723,62068
HHS,20150227,7.75,0.077717,62068
HHS,20150331,7.8,0.006452,61792
HHS,20150430,6.79,-0.129487,62623
HHS,20150529,6.26,-0.065538,62001
HHS,20150630,5.96,-0.047923,62001
HHS,20150731,4.69,-0.213087,62001
HHS,20150831,3.85,-0.160981,61676
HHS,20150930,3.53,-0.083117,61676
HHS,20151030,4.25,0.203966,61676
HHS,20151130,3.76,-0.095294,61250
HHS,20151231,3.24,-0.138298,61250
HHS,20160129,3.42,0.055556,61250
HHS,20160229,3.09,-0.071637,61250
HHS,20160331,2.53,-0.18123,61267
HHS,20160429,1.82,-0.280632,62179
HHS,20160531,0.9889,-0.456648,61458
HHS,20160630,1.59,0.607847,61458
HHS,20160729,1.66,0.044025,61458
HHS,20160831,1.62,-0.024096,61510
HHS,20160930,1.62,0,61510
HHS,20161031,1.41,-0.12963,61510
HHS,20161130,1.5,0.06383,61602
HHS,20161230,1.51,0.006667,61602
HHS,20170131,1.56,0.033113,61602
HHS,20170228,1.55,-0.00641,61602
HHS,20170331,1.4,-0.096774,61602
HHS,20170428,1.36,-0.028571,61602
HHS,20170531,1.28,-0.058824,61602
HHS,20170630,1.03,-0.195313,61645
HHS,20170731,0.965,-0.063107,62541
HHS,20170831,0.8983,-0.069119,61976
HHS,20170929,1.07,0.191139,61976
HHS,20171031,1.04,-0.028037,62538
HHS,20171130,0.981,-0.056731,62068
HHS,20171229,0.9487,-0.032926,62538
HHS,20180131,0.8415,-0.112997,62604
DSPG,20120131,5.72,0.097889,22502
DSPG,20120229,6.39,0.117133,22502
DSPG,20120330,6.66,0.042254,22042
DSPG,20120430,6.54,-0.018018,22042
DSPG,20120531,6.27,-0.041284,21865
DSPG,20120629,6.34,0.011164,21775
DSPG,20120731,5.78,-0.088328,21775
DSPG,20120831,5.73,-0.008651,21775
DSPG,20120928,5.94,0.036649,21775
DSPG,20121031,5.5,-0.074074,21775
DSPG,20121130,5.92,0.076364,21775
DSPG,20121231,5.76,-0.027027,21674
DSPG,20130131,6.56,0.138889,21674
DSPG,20130228,7.24,0.103659,21674
DSPG,20130328,8.07,0.114641,21953
DSPG,20130430,8.07,0,21953
DSPG,20130531,7.94,-0.016109,22001
DSPG,20130628,8.31,0.0466,22172
DSPG,20130731,7.45,-0.10349,22172
DSPG,20130830,6.35,-0.147651,22557
DSPG,20130930,7.05,0.110236,22558
DSPG,20131031,7.45,0.056738,22558
DSPG,20131129,8.84,0.186577,22562
DSPG,20131231,9.71,0.098416,22350
DSPG,20140131,8.96,-0.07724,22350
DSPG,20140228,8.46,-0.055804,22350
DSPG,20140331,8.64,0.021277,22127
DSPG,20140430,7.96,-0.078704,22553
DSPG,20140530,8.39,0.05402,22147
DSPG,20140630,8.49,0.011919,21843
DSPG,20140731,8.87,0.044759,21843
DSPG,20140829,8.98,0.012401,22012
DSPG,20140930,8.87,-0.012249,21540
DSPG,20141031,9.69,0.092446,21540
DSPG,20141128,10.82,0.116615,21612
DSPG,20141231,10.87,0.004621,21844
DSPG,20150130,10.99,0.01104,21844
DSPG,20150227,11.29,0.027298,21844
DSPG,20150331,11.98,0.061116,22227
DSPG,20150430,11.38,-0.050083,22227
DSPG,20150529,11.18,-0.017575,22359
DSPG,20150630,10.33,-0.076029,21995
DSPG,20150731,8.73,-0.154889,21995
DSPG,20150831,8.75,0.002291,22140
DSPG,20150930,9.11,0.041143,21693
DSPG,20151030,10.1,0.108672,21693
DSPG,20151130,10.43,0.032673,21642
DSPG,20151231,9.44,-0.094919,21573
DSPG,20160129,9.57,0.013771,21573
DSPG,20160229,8.63,-0.098224,21573
DSPG,20160331,9.12,0.056779,21697
DSPG,20160429,9.5,0.041667,21714
